Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
Rk,Player,Age,Team,Pos?,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb
1,CeeDee Lamb,24,DAL,WR,17,17,181,135,1749,13,12,80,63.5,92,7.9,102.9,74.6,9.7,3
2,Tyreek Hill,29,MIA,WR,16,16,171,119,1799,15.1,13,83,57.9,78,7.4,112.4,69.6,10.5,1
3,Amon-Ra St. Brown,24,DET,WR,16,16,164,119,1515,12.7,10,75,61.6,70,7.4,94.7,72.6,9.2,1
4,Michael Pittman Jr.,26,IND,WR,16,15,156,109,1152,10.6,4,53,51.9,75,6.8,72,69.9,7.4,2
5,Keenan Allen,31,LAC,WR,13,13,150,108,1243,11.5,7,57,58.7,42,8.3,95.6,72,8.3,2
6,Stefon Diggs,30,BUF,WR,17,17,160,107,1183,11.1,8,58,55,55,6.3,69.6,66.9,7.4,2
7,A.J. Brown,26,PHI,WR,17,17,158,106,1456,13.7,7,70,56.3,59,6.2,85.6,67.1,9.2,2
8,Puka Nacua,22,LAR,WR,17,17,160,105,1486,14.2,6,68,56.9,80,6.2,87.4,65.6,9.3,1
9,Davante Adams,31,LVR,WR,17,17,175,103,1144,11.1,8,59,48.6,46,6.1,67.3,58.9,6.5,0
10,Adam Thielen,33,CAR,WR,17,17,137,103,1014,9.8,4,56,58.4,32,6.1,59.6,75.2,7.4,2
11,Ja'Marr Chase,23,CIN,WR,16,16,145,100,1216,12.2,7,63,56.6,76,6.3,76,69,8.4,1
12,D.J. Moore,26,CHI,WR,17,17,136,96,1364,14.2,8,64,59.6,58,5.6,80.2,70.6,10,1
13,Garrett Wilson,23,NYJ,WR,17,17,168,95,1042,11,3,47,44,68,5.6,61.3,56.5,6.2,2
14,Chris Olave,23,NOR,WR,16,11,138,87,1123,12.9,5,57,53.6,51,5.4,70.2,63,8.1,0
15,Chris Godwin,27,TAM,WR,17,17,130,83,1024,12.3,2,53,50,47,4.9,60.2,63.8,7.9,0
16,DeVonta Smith,25,PHI,WR,16,16,112,81,1066,13.2,7,47,55.4,63,5.1,66.6,72.3,9.5,1
17,Nico Collins,24,HOU,WR,15,10,109,80,1297,16.2,8,53,61.5,75,5.3,86.5,73.4,11.9,1
18,Mike Evans,30,TAM,WR,17,17,136,79,1255,15.9,13,54,53.7,75,4.6,73.8,58.1,9.2,0
19,Tyler Lockett,31,SEA,WR,17,17,122,79,894,11.3,5,47,58.2,37,4.6,52.6,64.8,7.3,0
20,Terry McLaurin,28,WAS,WR,17,17,132,79,1002,12.7,4,47,49.2,48,4.6,58.9,59.8,7.6,0
21,Rashee Rice,23,KAN,WR,16,8,102,79,938,11.9,7,44,61.8,67,4.9,58.6,77.5,9.2,2
22,Zay Flowers,23,BAL,WR,16,16,108,77,858,11.1,5,41,55.6,75,4.8,53.6,71.3,7.9,0
23,Calvin Ridley,29,JAX,WR,17,17,136,76,1016,13.4,8,49,48.5,59,4.5,59.8,55.9,7.5,1
24,Brandon Aiyuk,25,SFO,WR,16,16,105,75,1342,17.9,7,61,70.5,76,4.7,83.9,71.4,12.8,1
25,DeAndre Hopkins,31,TEN,WR,17,16,137,75,1057,14.1,7,48,43.8,61,4.4,62.2,54.7,7.7,0
26,Amari Cooper,29,CLE,WR,15,15,128,72,1250,17.4,5,50,53.1,75,4.8,83.3,56.3,9.8,2
27,Jaylen Waddle,25,MIA,WR,14,14,104,72,1014,14.1,4,47,58.7,60,5.1,72.4,69.2,9.8,0
28,Jakobi Meyers,27,LVR,WR,16,16,106,71,807,11.4,8,46,54.7,33,4.4,50.4,67,7.6,0
29,Jordan Addison,21,MIN,WR,17,14,108,70,911,13,10,38,50,62,4.1,53.6,64.8,8.4,0
30,Drake London,22,ATL,WR,16,16,110,69,905,13.1,2,45,52.7,45,4.3,56.6,62.7,8.2,0
31,Josh Downs,22,IND,WR,17,9,98,68,771,11.3,2,30,50,59,4,45.4,69.4,7.9,0
32,Justin Jefferson,24,MIN,WR,10,9,100,68,1074,15.8,5,51,61,52,6.8,107.4,68,10.7,1
33,Tyler Boyd,29,CIN,WR,17,13,98,67,667,10,2,28,46.9,64,3.9,39.2,68.4,6.8,0
34,D.K. Metcalf,26,SEA,WR,16,16,119,66,1114,16.9,8,52,51.3,73,4.1,69.6,55.5,9.4,0
35,Jayden Reed,23,GNB,WR,16,13,94,64,793,12.4,8,32,51.1,59,4,49.6,68.1,8.4,2
36,George Pickens,22,PIT,WR,17,16,106,63,1140,18.1,5,42,50.9,86,3.7,67.1,59.4,10.8,3
37,Jaxon Smith-Njigba,21,SEA,WR,17,3,93,63,628,10,4,29,47.3,35,3.7,36.9,67.7,6.8,0
38,Curtis Samuel,27,WAS,WR,16,13,91,62,613,9.9,4,26,50.5,37,3.9,38.3,68.1,6.7,0
39,Wan'Dale Robinson,22,NYG,WR,15,8,78,60,525,8.8,1,29,53.8,33,4,35,76.9,6.7,0
